"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error
,"Alabama","01","2010","2010",13423,2510310,534.71,525.67,543.76,4.62,468.47,460.37,476.58,4.14
,"Alabama","01","2011","2011",13770,2518131,546.83,537.70,555.97,4.66,473.48,465.35,481.60,4.15
,"Alabama","01","2012","2012",13879,2513296,552.22,543.04,561.41,4.69,479.08,470.88,487.29,4.19
,"Alabama","01","2013","2013",14086,2515357,560.00,550.75,569.25,4.72,483.25,475.03,491.48,4.20
,"Alabama","01","2014","2014",14091,2518038,559.60,550.36,568.84,4.71,482.23,474.00,490.45,4.20
,"Alabama","01","2015","2015",14487,2522661,574.27,564.92,583.63,4.77,493.87,485.55,502.19,4.25
,"Alabama","01","2016","2016",14652,2522310,580.90,571.49,590.30,4.80,501.92,493.49,510.36,4.30
,"Alabama","01","2017","2017",14663,2519274,582.03,572.61,591.45,4.81,497.40,489.02,505.77,4.27
,"Alabama","01","2018","2018",14660,2518479,582.10,572.67,591.52,4.81,498.29,489.88,506.69,4.29
,"Alabama","01","2019","2019",14342,2514818,570.30,560.97,579.63,4.76,488.55,480.21,496.89,4.26
"Total","Alabama","01",,,142053,25172674,564.31,561.38,567.25,1.50,486.85,484.23,489.47,1.34
,"Alaska","02","2010","2010",1425,393034,362.56,343.74,381.39,9.60,331.08,313.55,348.60,8.94
,"Alaska","02","2011","2011",1530,399328,383.14,363.94,402.34,9.80,346.19,328.41,363.97,9.07
,"Alaska","02","2012","2012",1538,402185,382.41,363.30,401.52,9.75,345.50,327.79,363.20,9.03
,"Alaska","02","2013","2013",1576,398584,395.40,375.88,414.92,9.96,356.70,338.57,374.83,9.25
,"Alaska","02","2014","2014",1585,399009,397.23,377.68,416.79,9.98,361.57,343.23,379.91,9.36
,"Alaska","02","2015","2015",1615,398706,405.06,385.30,424.82,10.08,369.83,351.21,388.46,9.50
,"Alaska","02","2016","2016",1671,402087,415.58,395.66,435.51,10.17,379.32,360.53,398.12,9.59
,"Alaska","02","2017","2017",1617,400078,404.17,384.47,423.87,10.05,370.81,352.13,389.49,9.53
,"Alaska","02","2018","2018",1566,396234,395.22,375.65,414.80,9.99,364.06,345.42,382.71,9.51
,"Alaska","02","2019","2019",1573,391822,401.46,381.62,421.30,10.12,369.42,350.54,388.30,9.63
"Total","Alaska","02",,,15696,3981067,394.27,388.10,400.43,3.15,359.81,354.02,365.60,2.95
