"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error
,"Alabama","01","2010","2010",8392,2510310,334.30,327.15,341.45,3.65,280.80,274.66,286.93,3.13
,"Alabama","01","2011","2011",8512,2518131,338.03,330.85,345.21,3.66,279.36,273.27,285.44,3.10
,"Alabama","01","2012","2012",8564,2513296,340.75,333.53,347.96,3.68,282.54,276.39,288.68,3.14
,"Alabama","01","2013","2013",8549,2515357,339.87,332.67,347.08,3.68,279.61,273.51,285.71,3.11
,"Alabama","01","2014","2014",8546,2518038,339.39,332.20,346.59,3.67,278.84,272.74,284.94,3.11
,"Alabama","01","2015","2015",8676,2522661,343.92,336.69,351.16,3.69,280.34,274.25,286.43,3.11
,"Alabama","01","2016","2016",8624,2522310,341.91,334.69,349.13,3.68,278.69,272.59,284.79,3.11
,"Alabama","01","2017","2017",8581,2519274,340.61,333.41,347.82,3.68,273.60,267.59,279.61,3.07
,"Alabama","01","2018","2018",8685,2518479,344.85,337.60,352.10,3.70,278.57,272.47,284.66,3.11
,"Alabama","01","2019","2019",8256,2514818,328.29,321.21,335.38,3.61,264.16,258.22,270.10,3.03
"Total","Alabama","01",,,85385,25172674,339.20,336.92,341.47,1.16,277.81,275.89,279.73,0.98
,"Alaska","02","2010","2010",776,393034,197.44,183.55,211.33,7.09,171.42,159.16,183.68,6.25
,"Alaska","02","2011","2011",847,399328,212.11,197.82,226.39,7.29,180.30,167.90,192.69,6.32
,"Alaska","02","2012","2012",801,402185,199.16,185.37,212.95,7.04,171.52,159.37,183.67,6.20
,"Alaska","02","2013","2013",883,398584,221.53,206.92,236.15,7.46,187.01,174.37,199.64,6.45
,"Alaska","02","2014","2014",860,399009,215.53,201.13,229.94,7.35,186.20,173.42,198.98,6.52
,"Alaska","02","2015","2015",873,398706,218.96,204.43,233.48,7.41,190.13,177.12,203.15,6.64
,"Alaska","02","2016","2016",857,402087,213.14,198.87,227.41,7.28,183.42,170.75,196.10,6.47
,"Alaska","02","2017","2017",791,400078,197.71,183.93,211.49,7.03,169.76,157.53,181.98,6.24
,"Alaska","02","2018","2018",765,396234,193.07,179.39,206.75,6.98,169.52,157.08,181.96,6.35
,"Alaska","02","2019","2019",746,391822,190.39,176.73,204.06,6.97,164.53,152.30,176.76,6.24
"Total","Alaska","02",,,8199,3981067,205.95,201.49,210.41,2.27,177.60,173.65,181.55,2.01
,"Arizona","04","2010","2010",7006,3247961,215.70,210.65,220.76,2.58,185.77,181.35,190.19,2.25
,"Arizona","04","2011","2011",7100,3291051,215.74,210.72,220.75,2.56,184.12,179.75,188.49,2.23
,"Arizona","04","2012","2012",7340,3307877,221.89,216.82,226.97,2.59,188.70,184.29,193.10,2.25
,"Arizona","04","2013","2013",7374,3324670,221.80,216.73,226.86,2.58,188.25,183.85,192.64,2.24
,"Arizona","04","2014","2014",7336,3367755,217.83,212.85,222.82,2.54,184.39,180.07,188.71,2.21
,"Arizona","04","2015","2015",7663,3412727,224.54,219.51,229.57,2.57,187.88,183.57,192.20,2.20
,"Arizona","04","2016","2016",7752,3456387,224.28,219.29,229.27,2.55,187.15,182.87,191.44,2.18
,"Arizona","04","2017","2017",7569,3508591,215.73,210.87,220.59,2.48,180.92,176.72,185.11,2.14
,"Arizona","04","2018","2018",7662,3583343,213.82,209.03,218.61,2.44,179.14,175.01,183.28,2.11
,"Arizona","04","2019","2019",7662,3636004,210.73,206.01,215.44,2.41,177.13,173.04,181.23,2.09
"Total","Arizona","04",,,74464,34136366,218.14,216.57,219.70,0.80,184.28,182.92,185.64,0.69
,"Arkansas","05","2010","2010",5152,1500357,343.38,334.01,352.76,4.78,290.28,282.19,298.37,4.13
,"Arkansas","05","2011","2011",5332,1512776,352.46,343.00,361.93,4.83,293.59,285.52,301.66,4.12
,"Arkansas","05","2012","2012",5348,1508968,354.41,344.92,363.91,4.85,295.51,287.39,303.64,4.15
,"Arkansas","05","2013","2013",5415,1506764,359.38,349.81,368.95,4.88,298.59,290.42,306.76,4.17
,"Arkansas","05","2014","2014",5616,1506595,372.76,363.01,382.51,4.97,311.52,303.13,319.90,4.28
,"Arkansas","05","2015","2015",5543,1511614,366.69,357.04,376.35,4.93,303.30,295.07,311.54,4.20
,"Arkansas","05","2016","2016",5565,1514723,367.39,357.74,377.05,4.92,301.71,293.52,309.90,4.18
,"Arkansas","05","2017","2017",5728,1518247,377.28,367.51,387.05,4.98,310.13,301.82,318.44,4.24
,"Arkansas","05","2018","2018",5524,1518240,363.84,354.25,373.44,4.90,297.77,289.64,305.90,4.15
,"Arkansas","05","2019","2019",5525,1514707,364.76,355.14,374.38,4.91,296.84,288.72,304.96,4.15
"Total","Arkansas","05",,,54748,15112991,362.26,359.22,365.29,1.55,300.18,297.59,302.77,1.32
,"California","06","2010","2010",37568,19789451,189.84,187.92,191.76,0.98,171.26,169.52,173.01,0.89
