state,state_fips,state_id,year,first_treat_year,gname,treated_post,event_time,population,deaths_allcause,deaths_amenable,deaths_nonamenable,deaths_external,crude_allcause,crude_amenable,crude_nonamenable,crude_external,aa_allcause,aa_amenable,aa_nonamenable,aa_external
Alabama,1,1,2010,0,0,0,NA,2510310,13423,8392,5031,2124,534.7148360162689,334.30134126860827,200.41349474766065,84.61106397217873,468.47,280.8,187.67000000000002,85.65
Alabama,1,1,2011,0,0,0,NA,2518131,13770,8512,5258,2196,546.8341400824659,338.0284822354357,208.8056578470302,87.207536065439,473.48,279.36,194.12,88.01
Alabama,1,1,2012,0,0,0,NA,2513296,13879,8564,5315,2062,552.2230568942139,340.7477670755852,211.4752898186286,82.04365900395338,479.08,282.54,196.53999999999996,83.63
Alabama,1,1,2013,0,0,0,NA,2515357,14086,8549,5537,2168,560.0000318046306,339.87223284806095,220.1277989565696,86.19054869746124,483.25,279.61,203.64,87.31
Alabama,1,1,2014,0,0,0,NA,2518038,14091,8546,5545,2230,559.6023570732451,339.391224437439,220.21113263580614,88.56101456769119,482.23,278.84,203.39000000000004,89.72
Alabama,1,1,2015,0,0,0,NA,2522661,14487,8676,5811,2387,574.2745458069871,343.9225484518134,230.35199735517375,94.62230557336083,493.87,280.34,213.53000000000003,96.06
Alabama,1,1,2016,0,0,0,NA,2522310,14652,8624,6028,2601,580.8960833521653,341.9088058168901,238.98727753527518,103.11975926828977,501.92,278.69,223.23000000000002,105.94
Alabama,1,1,2017,0,0,0,NA,2519274,14663,8581,6082,2664,582.0327602317176,340.6140022879607,241.41875794375682,105.74475027329301,497.4,273.6,223.79999999999995,107.67
Alabama,1,1,2018,0,0,0,NA,2518479,14660,8685,5975,2571,582.0973690866591,344.85099935318107,237.24636973347802,102.08542536983632,498.29,278.57,219.72000000000003,104.18
Alabama,1,1,2019,0,0,0,NA,2514818,14342,8256,6086,2562,570.2997195025644,328.2941350030101,242.00558449955423,101.87615962666085,488.55,264.16,224.39,104.76
