"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error
,"Alabama","01","2010","2010",2124,2510310,84.61,81.01,88.21,1.84,85.65,81.95,89.36,1.89
,"Alabama","01","2011","2011",2196,2518131,87.21,83.56,90.86,1.86,88.01,84.25,91.76,1.92
,"Alabama","01","2012","2012",2062,2513296,82.04,78.50,85.58,1.81,83.63,79.94,87.32,1.88
,"Alabama","01","2013","2013",2168,2515357,86.19,82.56,89.82,1.85,87.31,83.56,91.07,1.92
,"Alabama","01","2014","2014",2230,2518038,88.56,84.89,92.24,1.88,89.72,85.91,93.53,1.94
,"Alabama","01","2015","2015",2387,2522661,94.62,90.83,98.42,1.94,96.06,92.12,100.00,2.01
,"Alabama","01","2016","2016",2601,2522310,103.12,99.16,107.08,2.02,105.94,101.77,110.11,2.13
,"Alabama","01","2017","2017",2664,2519274,105.74,101.73,109.76,2.05,107.67,103.47,111.87,2.14
,"Alabama","01","2018","2018",2571,2518479,102.09,98.14,106.03,2.01,104.18,100.05,108.32,2.11
,"Alabama","01","2019","2019",2562,2514818,101.88,97.93,105.82,2.01,104.76,100.59,108.92,2.13
"Total","Alabama","01",,,23565,25172674,93.61,92.42,94.81,0.61,95.30,94.06,96.55,0.64
,"Alaska","02","2010","2010",369,393034,93.89,84.31,103.46,4.89,94.21,84.42,104.00,5.00
,"Alaska","02","2011","2011",382,399328,95.66,86.07,105.25,4.89,96.45,86.57,106.33,5.04
,"Alaska","02","2012","2012",413,402185,102.69,92.79,112.59,5.05,102.61,92.49,112.73,5.16
,"Alaska","02","2013","2013",383,398584,96.09,86.47,105.71,4.91,97.87,87.84,107.91,5.12
,"Alaska","02","2014","2014",427,399009,107.02,96.86,117.17,5.18,106.47,96.08,116.85,5.30
,"Alaska","02","2015","2015",418,398706,104.84,94.79,114.89,5.13,105.42,95.03,115.82,5.30
,"Alaska","02","2016","2016",469,402087,116.64,106.08,127.20,5.39,117.52,106.57,128.46,5.58
,"Alaska","02","2017","2017",482,400078,120.48,109.72,131.23,5.49,122.57,111.35,133.79,5.72
,"Alaska","02","2018","2018",474,396234,119.63,108.86,130.40,5.49,119.28,108.25,130.31,5.63
,"Alaska","02","2019","2019",494,391822,126.08,114.96,137.20,5.67,126.23,114.81,137.64,5.82
"Total","Alaska","02",,,4311,3981067,108.29,105.05,111.52,1.65,109.01,105.68,112.34,1.70
,"Arizona","04","2010","2010",2745,3247961,84.51,81.35,87.68,1.61,84.01,80.83,87.19,1.62
,"Arizona","04","2011","2011",2783,3291051,84.56,81.42,87.70,1.60,84.31,81.12,87.49,1.62
,"Arizona","04","2012","2012",2852,3307877,86.22,83.05,89.38,1.61,85.61,82.42,88.81,1.63
,"Arizona","04","2013","2013",2977,3324670,89.54,86.33,92.76,1.64,88.97,85.72,92.22,1.66
,"Arizona","04","2014","2014",2904,3367755,86.23,83.09,89.37,1.60,85.50,82.33,88.67,1.62
,"Arizona","04","2015","2015",3059,3412727,89.64,86.46,92.81,1.62,89.29,86.07,92.52,1.65
,"Arizona","04","2016","2016",3326,3456387,96.23,92.96,99.50,1.67,94.97,91.68,98.26,1.68
,"Arizona","04","2017","2017",3503,3508591,99.84,96.53,103.15,1.69,99.11,95.76,102.47,1.71
,"Arizona","04","2018","2018",3530,3583343,98.51,95.26,101.76,1.66,97.95,94.65,101.25,1.68
,"Arizona","04","2019","2019",3732,3636004,102.64,99.35,105.93,1.68,102.13,98.78,105.48,1.71
"Total","Arizona","04",,,31411,34136366,92.02,91.00,93.03,0.52,91.47,90.44,92.50,0.53
,"Arkansas","05","2010","2010",1281,1500357,85.38,80.70,90.06,2.39,87.01,82.16,91.85,2.47
,"Arkansas","05","2011","2011",1384,1512776,91.49,86.67,96.31,2.46,92.73,87.74,97.71,2.54
,"Arkansas","05","2012","2012",1352,1508968,89.60,84.82,94.37,2.44,89.96,85.07,94.86,2.50
,"Arkansas","05","2013","2013",1265,1506764,83.95,79.33,88.58,2.36,84.51,79.76,89.25,2.42
,"Arkansas","05","2014","2014",1331,1506595,88.34,83.60,93.09,2.42,89.74,84.82,94.66,2.51
,"Arkansas","05","2015","2015",1412,1511614,93.41,88.54,98.28,2.49,94.06,89.05,99.08,2.56
